pde,r,seed,comparison,baseline,contrast,mse_comparison,mse_baseline,mse_difference,mse_ratio,log_mse_ratio,excess_comparison,excess_baseline,excess_difference,mse_sign
heat,0.25,110,frozen_layer_mean_validation,frozen_per_head_validation,frozen_layer_mean_validation_vs_frozen_per_head_validation,5.706650459957885e-07,3.9314165034554094e-08,5.313508809612344e-07,14.515507209531686,2.6752175406849963,0.5732198761749381,0.037847352715885,0.5353725234590531,higher
heat,0.25,111,frozen_layer_mean_validation,frozen_per_head_validation,frozen_layer_mean_validation_vs_frozen_per_head_validation,5.047975956962159e-07,3.112913286168473e-07,1.9350626707936858e-07,1.6216243412213567,0.4834283266629732,0.2919355882601787,0.1790409700259163,0.11289461823426239,higher
heat,0.25,112,frozen_layer_mean_validation,frozen_per_head_validation,frozen_layer_mean_validation_vs_frozen_per_head_validation,3.9352886793686537e-07,2.0038398919515482e-07,1.9314487874171055e-07,1.9638738080695954,0.6749189553576039,0.2871224662973453,0.144939113940327,0.1421833523570183,higher
heat,0.25,113,frozen_layer_mean_validation,frozen_per_head_validation,frozen_layer_mean_validation_vs_frozen_per_head_validation,5.345205840168177e-07,1.3711958756282286e-07,3.9740099645399485e-07,3.8982073496386587,1.3605167935235403,0.2848638886723689,0.0715464494110417,0.21331743926132718,higher
heat,0.25,114,frozen_layer_mean_validation,frozen_per_head_validation,frozen_layer_mean_validation_vs_frozen_per_head_validation,3.731130495399082e-07,2.7853406036129624e-07,9.457898917861196e-08,1.339559869467778,0.2923411043883967,0.2589414143131812,0.1926466824660408,0.06629473184714038,higher
heat,0.25,115,frozen_layer_mean_validation,frozen_per_head_validation,frozen_layer_mean_validation_vs_frozen_per_head_validation,3.0086210467406005e-07,2.296875062091086e-07,7.117459846495144e-08,1.3098757944637778,0.26993231933155776,0.2853239719783919,0.2171094521341645,0.06821451984422738,higher
heat,0.25,116,frozen_layer_mean_validation,frozen_per_head_validation,frozen_layer_mean_validation_vs_frozen_per_head_validation,3.67397559208893e-07,3.3036584095452737e-07,3.703171825436563e-08,1.1120930606728883,0.10624387998224921,0.2900811968726177,0.2605779760211067,0.02950322085151097,higher
heat,0.25,117,frozen_layer_mean_validation,frozen_per_head_validation,frozen_layer_mean_validation_vs_frozen_per_head_validation,2.3926366471416216e-07,2.3433530664182525e-07,4.928358072336909e-09,1.0210312229213918,0.020813119441090443,0.2583760651156506,0.2529721905377057,0.005403874577944889,higher
heat,0.25,118,frozen_layer_mean_validation,frozen_per_head_validation,frozen_layer_mean_validation_vs_frozen_per_head_validation,4.143062404260434e-07,1.9329077649912765e-07,2.2101546392691576e-07,2.143435128824749,0.7624097424620501,0.2421008088985053,0.1118004831509483,0.130300325747557,higher
heat,0.25,119,frozen_layer_mean_validation,frozen_per_head_validation,frozen_layer_mean_validation_vs_frozen_per_head_validation,3.4920134223126453e-07,1.8285926068478678e-07,1.6634208154647776e-07,1.9096727227461485,0.6469318780289957,0.3545917620709329,0.1845526753536157,0.1700390867173172,higher
heat,0.25,100,frozen_per_head_validation,original,frozen_per_head_validation_vs_original,2.198163098661443e-07,3.2066004461081543e-09,2.1660970942003616e-07,68.55120042565173,4.227580917534817,0.1643334999602926,0.0,0.1643334999602926,higher
heat,0.25,101,frozen_per_head_validation,original,frozen_per_head_validation_vs_original,7.41745792599835e-08,3.300903250822579e-09,7.087367600916092e-08,22.47099464108781,3.112225350508516,0.0408086489918775,0.0,0.0408086489918775,higher
heat,0.25,102,frozen_per_head_validation,original,frozen_per_head_validation_vs_original,4.838769397108589e-07,6.254294821622652e-09,4.776226448892362e-07,77.36714585919039,4.348562218378413,0.2620032563853399,0.0,0.2620032563853399,higher
heat,0.25,103,frozen_per_head_validation,original,frozen_per_head_validation_vs_original,2.0512479094458858e-07,3.0877083953897992e-09,2.0203708254919878e-07,66.43269528005192,4.196189334089844,0.1316067255559105,0.0,0.1316067255559105,higher
heat,0.25,104,frozen_per_head_validation,original,frozen_per_head_validation_vs_original,4.745931622106292e-07,4.380065705966718e-09,4.702130965046625e-07,108.35297780216345,4.6853942107811175,0.3346227808567607,0.0,0.3346227808567607,higher
heat,0.25,105,frozen_per_head_validation,original,frozen_per_head_validation_vs_original,2.977013037093468e-07,4.385061024361758e-09,2.93316242684985e-07,67.88988843152461,4.217887104940937,0.1896132131404205,0.0,0.1896132131404205,higher
heat,0.25,106,frozen_per_head_validation,original,frozen_per_head_validation_vs_original,4.164877230559972e-07,3.8262109132089495e-09,4.1266151214278823e-07,108.85121926190396,4.689981988921487,0.3294177104837242,0.0,0.3294177104837242,higher
heat,0.25,107,frozen_per_head_validation,original,frozen_per_head_validation_vs_original,2.486782255273906e-07,3.9106434674730794e-09,2.4476758205991753e-07,63.59010418509917,4.152457863666073,0.2242605626925849,0.0,0.2242605626925849,higher
heat,0.25,108,frozen_per_head_validation,original,frozen_per_head_validation_vs_original,3.5493632413556575e-07,4.849646809135244e-09,3.500866773264305e-07,73.18807700943805,4.2930325253157635,0.1556377179712261,0.0,0.1556377179712261,higher
heat,0.25,109,frozen_per_head_validation,original,frozen_per_head_validation_vs_original,2.109270450731393e-07,4.092499889321588e-09,2.0683454518381772e-07,51.53990245021231,3.9423563125218517,0.1484351348148959,0.0,0.1484351348148959,higher
heat,0.25,110,frozen_per_head_validation,original,frozen_per_head_validation_vs_original,3.9314165034554094e-08,1.7511162667474543e-09,3.756304876780664e-08,22.450916470313377,3.1113314360861466,0.037847352715885,0.0,0.037847352715885,higher
