pde,r,seed,target,substitution,mse,mse_original,mse_persistence,excess,ratio,skill
wave,0.25,212,layer1,uniform,0.003056695219129324,0.00287241829209961,0.002993662841618061,1.5198780296649177,1.0641539317363893,0.040500402327510926
wave,0.25,212,layer1,random,0.0030570486560463905,0.00287241829209961,0.002993662841618061,1.522793104350504,1.0642769768089118,0.040500402327510926
wave,0.25,212,layer1,identity,0.0030915350653231144,0.00287241829209961,0.002993662841618061,1.8072298845084087,1.0762830308615463,0.040500402327510926
wave,0.25,212,layer1,frozen,0.0030923736630938947,0.00287241829209961,0.002993662841618061,1.814146465699984,1.0765749792080272,0.040500402327510926
wave,0.25,212,layer1,original,0.00287241829209961,0.00287241829209961,0.002993662841618061,0.0,1.0,0.040500402327510926
wave,0.25,212,layer2,stencil,0.004215986875351518,0.00287241829209961,0.002993662841618061,11.081476145428237,1.4677482339349048,0.040500402327510926
wave,0.25,212,layer2,acf,0.003059145819861442,0.00287241829209961,0.002993662841618061,1.5400900783042253,1.0650070807150245,0.040500402327510926
wave,0.25,212,layer2,xcorr,0.0030593434639740735,0.00287241829209961,0.002993662841618061,1.5417202061195925,1.0650758882815181,0.040500402327510926
wave,0.25,212,layer2,uniform,0.0029651063960045576,0.00287241829209961,0.002993662841618061,0.7644723352355092,1.0322683169647957,0.040500402327510926
wave,0.25,212,layer2,random,0.0029669810901395977,0.00287241829209961,0.002993662841618061,0.7799344252221172,1.0329209705634017,0.040500402327510926
wave,0.25,212,layer2,identity,0.004227399360388517,0.00287241829209961,0.002993662841618061,11.175603964635997,1.4717213617583798,0.040500402327510926
wave,0.25,212,layer2,frozen,0.0029649646603502333,0.00287241829209961,0.002993662841618061,0.7633033288357393,1.0322189732968787,0.040500402327510926
wave,0.25,212,layer2,original,0.00287241829209961,0.00287241829209961,0.002993662841618061,0.0,1.0,0.040500402327510926
wave,0.25,212,layer3,stencil,0.003926703735487536,0.00287241829209961,0.002993662841618061,8.695528562522998,1.367037574676246,0.040500402327510926
wave,0.25,212,layer3,acf,0.003066700359340757,0.00287241829209961,0.002993662841618061,1.6023983594543452,1.0676371083471745,0.040500402327510926
wave,0.25,212,layer3,xcorr,0.0030663071083836257,0.00287241829209961,0.002993662841618061,1.599154906790343,1.0675002024660871,0.040500402327510926
wave,0.25,212,layer3,uniform,0.0029539470560848713,0.00287241829209961,0.002993662841618061,0.6724324046653677,1.0283833187560114,0.040500402327510926
wave,0.25,212,layer3,random,0.0029589569894596934,0.00287241829209961,0.002993662841618061,0.7137533002826979,1.030127470500415,0.040500402327510926
wave,0.25,212,layer3,identity,0.003952253988245502,0.00287241829209961,0.002993662841618061,8.906261769578038,1.3759326067223239,0.040500402327510926
wave,0.25,212,layer3,frozen,0.0029514589405152947,0.00287241829209961,0.002993662841618061,0.6519109413958128,1.0275171094102418,0.040500402327510926
wave,0.25,212,layer3,original,0.00287241829209961,0.00287241829209961,0.002993662841618061,0.0,1.0,0.040500402327510926
wave,0.25,213,all,stencil,0.003027493949048221,0.0027217158931307495,0.0028048537205904722,3.6779654371604784,1.112347529251387,0.0296406999229253
wave,0.25,213,all,acf,0.0029275991255417466,0.0027217158931307495,0.0028048537205904722,2.4764086180955363,1.0756446449574768,0.0296406999229253
wave,0.25,213,all,xcorr,0.002927204652223736,0.0027217158931307495,0.0028048537205904722,2.471663806617251,1.0754997094338954,0.0296406999229253
wave,0.25,213,all,uniform,0.0028054058784618974,0.0027217158931307495,0.0028048537205904722,1.0066414758275064,1.030748979179778,0.0296406999229253
wave,0.25,213,all,random,0.002811187063343823,0.0027217158931307495,0.0028048537205904722,1.0761788339540026,1.032873074827129,0.0296406999229253
wave,0.25,213,all,identity,0.0030367370636668056,0.0027217158931307495,0.0028048537205904722,3.789143644494107,1.1157435907734263,0.0296406999229253
wave,0.25,213,all,frozen,0.002827192365657538,0.0027217158931307495,0.0028048537205904722,1.2686941161397105,1.0387536674173075,0.0296406999229253
wave,0.25,213,all,original,0.0027217158931307495,0.0027217158931307495,0.0028048537205904722,0.0,1.0,0.0296406999229253
wave,0.25,213,layer0,stencil,0.0030987423087935895,0.0027217158931307495,0.0028048537205904722,4.534956315108133,1.1385252651147038,0.0296406999229253
wave,0.25,213,layer0,acf,0.003076448483625427,0.0027217158931307495,0.0028048537205904722,4.266801302530216,1.130334173155242,0.0296406999229253
wave,0.25,213,layer0,xcorr,0.003076901484746486,0.0027217158931307495,0.0028048537205904722,4.272250099244065,1.1305006126878188,0.0296406999229253
