pde,r,seed,layer,head,window_mass,centrality,asymmetry,width,shift,pred_stencil_centrality,pred_stencil_asymmetry,pred_stencil_width,pred_stencil_shift,pred_acf_centrality,pred_acf_asymmetry,pred_acf_width,pred_acf_shift,pred_xcorr_centrality,pred_xcorr_asymmetry,pred_xcorr_width,pred_xcorr_shift,label,entropy
heat,0.1,102,1,1,0.029786580242216587,0.3339083855524383,-0.016370383090557494,2.6197667808145098,-0.004563824760309976,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,no_fit,0.9395560941947486
heat,0.1,102,1,2,0.22478866390883923,0.3341695891527587,0.0058530469833460545,2.566955811425366,0.06665902126070561,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,no_fit,0.988210396289231
heat,0.1,102,1,3,0.06936191115528345,0.33175567598113703,0.01694312017467986,2.6244857283050376,0.07432628167287297,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,no_fit,0.9878553961001022
heat,0.1,102,2,0,0.23027359694242477,0.3342935406973924,-0.00641827194147421,2.578979165049111,-0.06649561962078326,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,no_fit,0.9790925432621498
heat,0.1,102,2,1,0.014326185337267816,0.3318784441331288,-0.003013597440767156,2.6746863413118893,-0.012915050784369164,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,no_fit,0.9356530100928904
heat,0.1,102,2,2,0.11734495405107737,0.33287503285061915,0.003473365323845488,2.6023189845962347,0.01949243157748659,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,no_fit,0.9989505352661748
heat,0.1,102,2,3,0.002475680666975677,0.32640009838833445,-0.013685529004037161,2.7611981266235057,-0.07129523695995488,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,no_fit,0.8959382999300517
heat,0.1,102,3,0,0.00033533347777847666,0.4110987384533989,0.04902780509421536,2.9931173911517757,0.4642744080522381,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,no_fit,0.8632461070673471
heat,0.1,102,3,1,0.0124323625350371,0.3373245410781419,0.06497605909744353,2.6366722318982605,0.2448187679698388,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,no_fit,0.914270988511496
heat,0.1,102,3,2,0.0010572293540462852,0.332690831235127,-0.2004863480238995,2.8772441574497623,-0.8112161374552375,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,no_fit,0.8823104567832565
